ENSEMBL,SYMBOL,ENTREZID,biotype,geneloc,fc,P.Value,adj.P.Val,t
ENSG00000183495,EP400,57634,protein_coding,chr12:132434508-132565005,1.099903921,7.88E-13,2.82E-12,7.450723094
ENSG00000267127,RP11-795F19.5,NA,protein_coding,chr18:77794346-77854968,1.364169809,1.77E-12,6.16E-12,7.325744375
ENSG00000167136,ENDOG,2021,protein_coding,chr9:131580753-131584956,-1.188896059,8.84E-13,3.16E-12,-7.432965865
ENSG00000100348,TXN2,25828,protein_coding,chr22:36863083-36878077,1.094099941,7.28E-13,2.61E-12,7.46290706
ENSG00000162614,NEXN,91624,protein_coding,chr1:78354198-78409580,-1.211716922,7.27E-13,2.61E-12,-7.463084787
ENSG00000137343,ATAT1,79969,protein_coding,chr6:30594619-30614600,1.189504894,1.14E-12,4.02E-12,7.394169134
ENSG00000119686,FLVCR2,55640,protein_coding,chr14:76044960-76129557,-1.401487261,1.40E-12,4.92E-12,-7.362003536
ENSG00000171451,DSEL,92126,protein_coding,chr18:65173819-65184217,1.257503891,1.05E-12,3.74E-12,7.405961803
ENSG00000152894,PTPRK,5796,protein_coding,chr6:128289924-128841870,-1.18824357,7.93E-13,2.84E-12,-7.449783973
ENSG00000174917,C19orf70,125988,protein_coding,chr19:5678432-5680907,1.140858493,8.06E-13,2.89E-12,7.447175098
ENSG00000166902,MRPL16,54948,protein_coding,chr11:59573608-59578345,1.099003332,7.72E-13,2.77E-12,7.453950357
ENSG00000166313,APBB1,322,protein_coding,chr11:6416355-6440644,-1.127420229,7.75E-13,2.78E-12,-7.453335327
ENSG00000165802,NSMF,26012,protein_coding,chr9:140342022-140353786,-1.161074218,1.00E-12,3.55E-12,-7.414074689
ENSG00000134769,DTNA,1837,protein_coding,chr18:32073254-32471808,-1.130184552,7.65E-13,2.74E-12,-7.455297574
ENSG00000162642,C1orf52,148423,protein_coding,chr1:85715639-85725355,-1.103241214,9.11E-13,3.25E-12,-7.428341555
ENSG00000121289,CEP89,84902,protein_coding,chr19:33369902-33462897,1.135199982,1.08E-12,3.82E-12,7.40255838
ENSG00000104848,KCNA7,3743,protein_coding,chr19:49570675-49576198,-2.465735498,2.11E-12,7.31E-12,-7.298349402
ENSG00000198053,SIRPA,140885,protein_coding,chr20:1875154-1920543,1.158077201,8.33E-13,2.98E-12,7.442264427
ENSG00000089101,C20orf26,26074,protein_coding,chr20:20033158-20341346,1.361039015,8.62E-13,3.08E-12,7.436990026
ENSG00000225855,RUSC1-AS1,NA,antisense,chr1:155286654-155293967,1.293990457,1.73E-12,6.04E-12,7.32887883
ENSG00000099917,MED15,51586,protein_coding,chr22:20850200-20941919,1.127488376,8.95E-13,3.19E-12,7.431162884
ENSG00000102962,CCL22,6367,protein_coding,chr16:57392684-57400102,2.48033312,2.25E-12,7.77E-12,7.288517278
ENSG00000196369,SRGAP2B,647135,pseudogene,chr1:143913615-144094424,-1.373440642,1.83E-12,6.36E-12,-7.320652935
ENSG00000132341,RAN,5901,protein_coding,chr12:131356424-131362223,-1.084118756,7.82E-13,2.80E-12,-7.451896794
ENSG00000133246,PRAM1,84106,protein_coding,chr19:8554940-8567996,1.573984454,2.09E-12,7.24E-12,7.300029275
ENSG00000228812,RP11-157P1.5,101928158,antisense,chr20:60928051-60931536,1.902411649,2.08E-12,7.22E-12,7.300361236
ENSG00000188459,WASF4P,NA,pseudogene,chrX:47657325-47664188,-2.46691233,2.32E-12,8.01E-12,-7.283603676
ENSG00000163762,TM4SF18,116441,protein_coding,chr3:149036285-149052201,-1.393899772,9.98E-13,3.55E-12,-7.414419878
ENSG00000272973,KB-1125A3.11,NA,antisense,chr22:24198614-24199226,1.63126681,2.28E-12,7.87E-12,7.286377222
ENSG00000168884,TNIP2,79155,protein_coding,chr4:2743375-2758103,-1.148383525,9.93E-13,3.53E-12,-7.415154194
ENSG00000166925,TSC22D4,81628,protein_coding,chr7:100060982-100076902,1.198885224,9.34E-13,3.33E-12,7.424509816
ENSG00000170515,PA2G4,5036,protein_coding,chr12:56498103-56507691,-1.097433621,8.26E-13,2.95E-12,-7.443456597
ENSG00000132109,TRIM21,6737,protein_coding,chr11:4406127-4414926,1.202264508,1.13E-12,3.99E-12,7.395500155
ENSG00000233927,RPS28,6234,protein_coding,chr19:8386042-8388224,1.293059732,8.50E-13,3.04E-12,7.438986571
ENSG00000261496,RP13-514E23.1,NA,sense_overlapping,chr4:86933449-86935027,1.863398377,2.36E-12,8.16E-12,7.280736046
ENSG00000239828,RP11-446H18.5,NA,lincRNA,chr3:106991458-107101007,1.729935483,2.22E-12,7.67E-12,7.290710906
ENSG00000182263,FIGN,55137,protein_coding,chr2:164449906-164592522,-1.259094629,1.01E-12,3.57E-12,-7.413273004
ENSG00000100083,GGA1,26088,protein_coding,chr22:38004481-38029571,1.107273762,9.47E-13,3.37E-12,7.422457479
ENSG00000004766,CCDC132,55610,protein_coding,chr7:92861653-92988338,-1.123652439,9.71E-13,3.46E-12,-7.418548067
ENSG00000198832,SELM,140606,protein_coding,chr22:31500758-31516055,1.205974946,1.04E-12,3.68E-12,7.408498492
ENSG00000164104,HMGB2,3148,protein_coding,chr4:174252846-174256276,1.214618459,8.75E-13,3.12E-12,7.434530991
ENSG00000089177,KIF16B,55614,protein_coding,chr20:16252749-16554078,-1.167105562,1.04E-12,3.69E-12,-7.407847652
ENSG00000237187,NR2F1-AS1,441094,processed_transcript,chr5:92745065-92921354,1.748898812,2.30E-12,7.94E-12,7.284982459
ENSG00000198216,CACNA1E,777,protein_coding,chr1:181382238-181777219,-2.84634297,2.48E-12,8.55E-12,-7.272991477
ENSG00000149929,HIRIP3,8479,protein_coding,chr16:30003645-30007757,1.146587432,1.01E-12,3.57E-12,7.413119256
ENSG00000001497,LAS1L,81887,protein_coding,chrX:64732462-64754655,1.102967698,9.98E-13,3.55E-12,7.414352872
ENSG00000154719,MRPL39,54148,protein_coding,chr21:26957968-26979829,-1.120991669,9.40E-13,3.35E-12,-7.423565358
ENSG00000110057,UNC93B1,81622,protein_coding,chr11:67758575-67772452,1.241964619,1.59E-12,5.55E-12,7.342424503
ENSG00000163219,ARHGAP25,9938,protein_coding,chr2:68906733-69053965,1.231513932,1.31E-12,4.63E-12,7.37177026
ENSG00000204377,C1orf134,NA,protein_coding,chr1:16555368-16556038,1.372127625,2.15E-12,7.46E-12,7.295139022
ENSG00000101608,MYL12A,10627,protein_coding,chr18:3247479-3256234,1.279669154,9.23E-13,3.29E-12,7.426473215
ENSG00000163239,TDRD10,126668,protein_coding,chr1:154474695-154520623,1.255218052,1.46E-12,5.13E-12,7.355430244
ENSG00000131095,GFAP,2670,protein_coding,chr17:42982376-42994305,1.482066542,1.58E-12,5.54E-12,7.34285791
ENSG00000153214,TMEM87B,84910,protein_coding,chr2:112812800-112876895,-1.1593341,1.13E-12,4.00E-12,-7.394903082
ENSG00000113319,RASGRF2,5924,protein_coding,chr5:80256491-80525975,-1.245478351,1.09E-12,3.86E-12,-7.400756315
ENSG00000205302,SNX2,6643,protein_coding,chr5:122110691-122165803,-1.120568713,9.77E-13,3.48E-12,-7.417574154
ENSG00000151893,CACUL1,143384,protein_coding,chr10:120433679-120514761,-1.113616198,9.59E-13,3.41E-12,-7.420456642
ENSG00000165084,C8orf34,116328,protein_coding,chr8:69242957-69731257,1.817004258,2.61E-12,8.98E-12,7.265029366
ENSG00000133107,TRPC4,7223,protein_coding,chr13:38210773-38444562,-1.797633935,2.36E-12,8.16E-12,-7.280585346
ENSG00000041988,THAP3,90326,protein_coding,chr1:6684926-6695646,1.154461666,1.33E-12,4.68E-12,7.370221205
ENSG00000147408,CSGALNACT1,55790,protein_coding,chr8:19261672-19615540,-1.248834638,9.74E-13,3.46E-12,-7.418170459
ENSG00000272301,RP11-111M22.4,NA,sense_intronic,chr11:76100692-76101172,1.498222936,2.60E-12,8.94E-12,7.265856971
ENSG00000070501,POLB,5423,protein_coding,chr8:42195972-42229326,-1.130783612,1.07E-12,3.78E-12,-7.404122498
ENSG00000154645,CHODL,140578,protein_coding,chr21:19273580-19639690,1.644546393,2.59E-12,8.90E-12,7.266491494
ENSG00000147400,CETN2,1069,protein_coding,chrX:151995517-151999321,1.149809418,1.03E-12,3.64E-12,7.41022867
ENSG00000171819,ANGPTL7,10218,protein_coding,chr1:11249398-11256038,2.265563997,2.25E-12,7.78E-12,7.288271928
ENSG00000006075,CCL3,NA,protein_coding,chr17:34415602-34417515,2.288609596,2.70E-12,9.27E-12,7.259828454
ENSG00000145777,TSLP,85480,protein_coding,chr5:110405760-110413722,-1.256323877,1.49E-12,5.22E-12,-7.352685262
ENSG00000076248,UNG,7374,protein_coding,chr12:109535379-109548797,1.163336145,1.07E-12,3.79E-12,7.403505131
ENSG00000259630,CTD-2262B20.1,NA,pseudogene,chr15:85958459-85958864,1.892177159,2.82E-12,9.69E-12,7.252748545
ENSG00000166189,HPS6,79803,protein_coding,chr10:103825147-103827792,1.145588815,1.43E-12,5.02E-12,7.358687469
ENSG00000126070,AGO3,192669,protein_coding,chr1:36396319-36538101,-1.113329772,1.12E-12,3.97E-12,-7.39646658
ENSG00000229299,RP4-583P15.10,NA,antisense,chr20:62376042-62377311,1.818701396,2.89E-12,9.89E-12,7.249373221
ENSG00000179813,FAM216B,144809,protein_coding,chr13:43355686-43365683,2.345446467,2.73E-12,9.35E-12,7.258326616
ENSG00000116698,SMG7,9887,protein_coding,chr1:183441351-183567381,-1.111949361,1.04E-12,3.69E-12,-7.407838463
ENSG00000134602,MST4,51765,protein_coding,chrX:131157293-131209971,-1.518207459,2.01E-12,6.99E-12,-7.305497778
ENSG00000100422,CERK,64781,protein_coding,chr22:47080308-47134158,-1.153235713,1.04E-12,3.68E-12,-7.408285321
ENSG00000180628,PCGF5,84333,protein_coding,chr10:92979908-93044088,-1.146890349,1.05E-12,3.73E-12,-7.406338036
ENSG00000249264,EEF1A1P9,NA,pseudogene,chr4:106405855-106407237,1.573127303,2.96E-12,1.01E-11,7.24537154
ENSG00000240731,RP5-890O3.9,NA,sense_intronic,chr1:1252961-1254069,-1.383895624,2.38E-12,8.21E-12,-7.279623947
ENSG00000174705,SH3PXD2B,285590,protein_coding,chr5:171752185-171881527,-1.347865607,1.39E-12,4.88E-12,-7.363257993
ENSG00000165995,CACNB2,783,protein_coding,chr10:18429606-18830798,-1.419863895,1.16E-12,4.11E-12,-7.390674409
ENSG00000172725,CORO1B,57175,protein_coding,chr11:67205519-67211292,1.165981018,1.51E-12,5.29E-12,7.350275076
ENSG00000081019,RSBN1,54665,protein_coding,chr1:114304454-114355098,-1.131276497,1.35E-12,4.75E-12,-7.367673799
ENSG00000132840,BHMT2,23743,protein_coding,chr5:78365540-78385289,-1.543172213,1.61E-12,5.64E-12,-7.340008178
ENSG00000158109,TPRG1L,127262,protein_coding,chr1:3541566-3546691,1.117326124,1.11E-12,3.93E-12,7.397895313
ENSG00000170485,NPAS2,4862,protein_coding,chr2:101436614-101613291,-1.225470938,1.15E-12,4.08E-12,-7.391932217
ENSG00000156486,KCNS2,3788,protein_coding,chr8:99439250-99445076,-2.188922112,3.21E-12,1.09E-11,-7.232884559
ENSG00000236526,RP4-742J24.2,NA,antisense,chr20:11890052-11899325,1.988360129,3.16E-12,1.08E-11,7.235394625
ENSG00000224897,RP11-3B12.1,401398,antisense,chr7:124569927-124819369,-1.378233073,2.86E-12,9.80E-12,-7.250768661
ENSG00000105722,ERF,2077,protein_coding,chr19:42751724-42759309,1.186382974,1.46E-12,5.12E-12,7.355605452
ENSG00000107611,CUBN,8029,protein_coding,chr10:16865963-17171830,1.375039968,2.54E-12,8.73E-12,7.269520385
ENSG00000182400,TRAPPC6B,122553,protein_coding,chr14:39617015-39639736,-1.095801435,1.20E-12,4.22E-12,-7.386457109
ENSG00000165672,PRDX3,10935,protein_coding,chr10:120927215-120938345,-1.149102912,1.12E-12,3.97E-12,-7.396169141
ENSG00000040633,PHF23,79142,protein_coding,chr17:7138347-7143041,-1.135696058,1.33E-12,4.68E-12,-7.369932554
ENSG00000132005,RFX1,5989,protein_coding,chr19:14072350-14117851,1.211640422,1.97E-12,6.85E-12,7.308706639
ENSG00000126775,ATG14,22863,protein_coding,chr14:55833110-55878576,1.130377139,1.21E-12,4.29E-12,7.384041818
ENSG00000175166,PSMD2,5708,protein_coding,chr3:184016497-184026842,-1.130527195,1.12E-12,3.97E-12,-7.396206168
ENSG00000172318,B3GALT1,8708,protein_coding,chr2:168675182-168730551,-2.084964772,3.30E-12,1.13E-11,-7.228262131
ENSG00000226015,CCT8P1,NA,pseudogene,chr1:146674857-146676513,-1.470814003,2.68E-12,9.19E-12,-7.261236875
ENSG00000172965,MIR4435-1HG,541471,lincRNA,chr2:111953927-112252677,1.263955436,1.43E-12,5.02E-12,7.3588195
ENSG00000145012,LPP,4026,protein_coding,chr3:187871072-188608460,-1.176745178,1.16E-12,4.08E-12,-7.391741792
ENSG00000115942,ORC2,4999,protein_coding,chr2:201773696-201828403,-1.108761846,1.29E-12,4.53E-12,-7.375184432
ENSG00000178750,STX19,415117,protein_coding,chr3:93733213-93747454,1.923218876,3.36E-12,1.15E-11,7.225492865
ENSG00000150051,MKX,283078,protein_coding,chr10:27961804-28034989,2.035571144,3.38E-12,1.15E-11,7.224447413
ENSG00000214013,GANC,2595,protein_coding,chr15:42565431-42645864,-1.157727284,1.53E-12,5.36E-12,-7.348221911
ENSG00000113621,TXNDC15,79770,protein_coding,chr5:134209493-134237215,-1.099458793,1.23E-12,4.33E-12,-7.38261372
ENSG00000198547,C20orf203,NA,lincRNA,chr20:31219428-31261743,1.922674899,3.52E-12,1.20E-11,7.218004832
ENSG00000230316,FEZF1-AS1,154860,antisense,chr7:121943712-121950131,2.324385382,3.56E-12,1.21E-11,7.216464893
ENSG00000131188,PRR7,80758,protein_coding,chr5:176873446-176883283,1.817006705,3.58E-12,1.22E-11,7.215461839
ENSG00000115944,COX7A2L,9167,protein_coding,chr2:42560686-42652228,1.10918507,1.25E-12,4.41E-12,7.379708823
ENSG00000073803,MAP3K13,9175,protein_coding,chr3:185000729-185206885,-1.134380376,1.71E-12,5.97E-12,-7.33098309
ENSG00000133067,LGR6,59352,protein_coding,chr1:202163029-202288909,-1.725406137,2.66E-12,9.15E-12,-7.261963425
ENSG00000143079,CTTNBP2NL,55917,protein_coding,chr1:112938803-113006078,-1.172626062,1.53E-12,5.37E-12,-7.347802636
ENSG00000124571,XPO5,57510,protein_coding,chr6:43490072-43543812,-1.107115704,1.46E-12,5.13E-12,-7.35522911
ENSG00000175785,PRIMA1,145270,protein_coding,chr14:94184644-94254827,-1.447498094,1.97E-12,6.85E-12,-7.308729747
ENSG00000106948,AKNA,80709,protein_coding,chr9:117096436-117156685,1.210121398,1.96E-12,6.81E-12,7.309871048
ENSG00000165915,SLC39A13,91252,protein_coding,chr11:47428683-47438047,1.144233801,1.40E-12,4.93E-12,7.361758234
ENSG00000173145,NOC3L,64318,protein_coding,chr10:96075004-96122716,-1.179209043,1.66E-12,5.79E-12,-7.335805835
ENSG00000205085,FAM71F2,346653,protein_coding,chr7:128312342-128326929,-1.403263747,2.49E-12,8.58E-12,-7.27238309
ENSG00000188916,FAM196A,642938,protein_coding,chr10:128933694-128994422,2.150997171,3.82E-12,1.30E-11,7.205227427
ENSG00000131203,IDO1,3620,protein_coding,chr8:39759794-39785963,2.582590638,3.32E-12,1.13E-11,7.22757633
ENSG00000124356,STAMBP,10617,protein_coding,chr2:74056086-74100786,-1.114415301,1.44E-12,5.05E-12,-7.357697048
ENSG00000167747,C19orf48,84798,protein_coding,chr19:51300961-51308186,1.19702016,2.16E-12,7.47E-12,7.294877633
ENSG00000180660,MAB21L1,4081,protein_coding,chr13:36047926-36050832,1.494756415,3.56E-12,1.21E-11,7.216567658
ENSG00000233862,AC016907.3,101929418,antisense,chr2:30273932-30366670,1.892712608,3.90E-12,1.32E-11,7.201928302
ENSG00000273477,RP11-196O16.1,NA,lincRNA,chr7:16127152-16129275,-1.287986761,2.85E-12,9.77E-12,-7.251346107
ENSG00000179886,TIGD5,84948,protein_coding,chr8:144680074-144682485,1.239440842,2.96E-12,1.01E-11,7.245519348
ENSG00000110367,DDX6,1656,protein_coding,chr11:118620034-118661858,-1.221670919,1.56E-12,5.45E-12,-7.345365469
ENSG00000077616,NAALAD2,10003,protein_coding,chr11:89864683-89926062,1.426613138,2.89E-12,9.90E-12,7.24918638
ENSG00000063241,ISOC2,79763,protein_coding,chr19:55964352-55973710,1.163331341,1.65E-12,5.77E-12,7.336316715
ENSG00000100580,TMED8,283578,protein_coding,chr14:77801364-77843452,-1.148679335,1.69E-12,5.90E-12,-7.33285181
ENSG00000019169,MARCO,8685,protein_coding,chr2:119699742-119752236,-2.527914304,2.40E-12,8.27E-12,-7.278348838
ENSG00000116198,CEP104,9731,protein_coding,chr1:3728645-3773778,-1.115120782,1.70E-12,5.92E-12,-7.332165511
ENSG00000224597,PTCHD3P1,387647,antisense,chr10:29698331-29776674,-1.18854531,1.70E-12,5.92E-12,-7.332172498
ENSG00000197566,ZNF624,57547,protein_coding,chr17:16524051-16557170,1.258021217,2.98E-12,1.02E-11,7.244560862
ENSG00000261606,RP11-414J4.2,NA,processed_transcript,chr15:75108564-75124136,-2.520293513,3.55E-12,1.21E-11,-7.216830511
ENSG00000196262,PPIA,5478,protein_coding,chr7:44836279-44864163,-1.111003575,1.41E-12,4.94E-12,-7.361248025
ENSG00000176401,EID2B,126272,protein_coding,chr19:40021630-40023494,1.214994346,2.65E-12,9.11E-12,7.262587383
ENSG00000166681,NGFRAP1,27018,protein_coding,chrX:102631268-102633005,1.155742746,1.43E-12,5.03E-12,7.3585293
ENSG00000125779,PANK2,80025,protein_coding,chr20:3869486-3907605,-1.119120106,1.74E-12,6.08E-12,-7.327910758
ENSG00000186615,KTN1-AS1,100129075,antisense,chr14:55965996-56046828,1.257558135,2.94E-12,1.01E-11,7.246632059
ENSG00000178719,GRINA,2907,protein_coding,chr8:145064226-145067583,1.118459079,1.52E-12,5.34E-12,7.348980077
ENSG00000225791,TRAM2-AS1,401264,lincRNA,chr6:52442105-52448783,1.161178667,2.08E-12,7.22E-12,7.300401784
ENSG00000132004,FBXW9,84261,protein_coding,chr19:12798867-12807457,1.261545287,3.25E-12,1.11E-11,7.230610883
ENSG00000179583,CIITA,4261,protein_coding,chr16:10971055-11026079,1.426861288,2.23E-12,7.70E-12,7.289919948
ENSG00000182890,GLUD2,2747,protein_coding,chrX:120181462-120183794,-1.289087149,3.55E-12,1.21E-11,-7.21676737
ENSG00000187866,FAM122A,116224,protein_coding,chr9:71394964-71398609,-1.134964594,1.72E-12,5.98E-12,-7.33053432
ENSG00000167483,FAM129C,199786,protein_coding,chr19:17634110-17664648,2.256118987,4.28E-12,1.45E-11,7.187542241
ENSG00000086544,ITPKC,80271,protein_coding,chr19:41223008-41246765,-1.246253071,1.77E-12,6.16E-12,-7.325729209
ENSG00000112576,CCND3,896,protein_coding,chr6:41902671-42018095,-1.146151397,1.57E-12,5.50E-12,-7.344029723
ENSG00000134531,EMP1,2012,protein_coding,chr12:13349650-13369708,-1.235398262,1.51E-12,5.28E-12,-7.350697367
ENSG00000186716,BCR,613,protein_coding,chr22:23521891-23660224,-1.211698307,1.71E-12,5.96E-12,-7.331060974
ENSG00000197969,VPS13A,23230,protein_coding,chr9:79792269-80036457,-1.242107021,1.56E-12,5.45E-12,-7.345606477
ENSG00000273091,AP000255.6,NA,lincRNA,chr21:33108045-33108720,2.002935573,4.36E-12,1.47E-11,7.184458501
ENSG00000197619,ZNF615,284370,protein_coding,chr19:52494585-52511483,-1.144008061,1.97E-12,6.86E-12,-7.308640954
ENSG00000182487,NCF1B,654816,pseudogene,chr7:72634611-72649979,1.666414588,4.13E-12,1.40E-11,7.193235168
ENSG00000160862,AZGP1,563,protein_coding,chr7:99564343-99573780,-1.597668327,1.56E-12,5.45E-12,-7.345654221
ENSG00000155066,PROM2,150696,protein_coding,chr2:95940201-95957056,1.320756278,3.45E-12,1.17E-11,7.221449711
ENSG00000153774,CFDP1,10428,protein_coding,chr16:75327596-75467383,1.118955076,1.74E-12,6.06E-12,7.328442057
ENSG00000273382,RP5-1065J22.8,NA,antisense,chr1:109630593-109633480,1.365625433,3.72E-12,1.26E-11,7.209510931
ENSG00000178462,TUBAL3,79861,protein_coding,chr10:5435061-5446793,-2.173494727,4.57E-12,1.54E-11,-7.177084789
ENSG00000204428,LY6G5C,80741,protein_coding,chr6:31644461-31651817,1.266293766,3.64E-12,1.24E-11,7.213030955
ENSG00000119729,RHOQ,23433,protein_coding,chr2:46768945-46810260,-1.157883731,1.59E-12,5.55E-12,-7.342618512
ENSG00000150636,CCDC102B,79839,protein_coding,chr18:66382446-66722426,1.252987224,2.45E-12,8.46E-12,7.274723504
ENSG00000257727,CNPY2,10330,protein_coding,chr12:56703626-56710120,-1.156085706,2.59E-12,8.92E-12,-7.266088289
ENSG00000132535,DLG4,1742,protein_coding,chr17:7093209-7123021,1.222910217,2.17E-12,7.53E-12,7.293600872
ENSG00000164687,FABP5,2171,protein_coding,chr8:82192598-82197012,-1.277314028,1.73E-12,6.04E-12,-7.32876141
ENSG00000268001,CTC-241F20.3,100505812,antisense,chr19:48758932-48761456,-1.255445177,2.97E-12,1.02E-11,-7.244853998
ENSG00000206149,HERC2P9,440248,pseudogene,chr15:28834638-28930410,-1.375106797,1.90E-12,6.62E-12,-7.314308613
ENSG00000232415,CTB-51J22.1,NA,antisense,chr7:73473906-73476614,2.027484919,4.85E-12,1.63E-11,7.167828582
ENSG00000102934,PLLP,51090,protein_coding,chr16:57290004-57318599,-1.392798172,3.10E-12,1.06E-11,-7.238394485
ENSG00000168734,PKIG,11142,protein_coding,chr20:43160426-43252888,1.177234689,1.68E-12,5.85E-12,7.334081542
ENSG00000089472,HEPH,9843,protein_coding,chrX:65382391-65488709,1.421713236,1.82E-12,6.34E-12,7.321218781
ENSG00000256742,RP13-941N14.1,NA,lincRNA,chr12:122018697-122031409,2.083604951,4.81E-12,1.62E-11,7.169039374
ENSG00000196812,ZSCAN16,80345,protein_coding,chr6:28092338-28097860,-1.223344251,3.41E-12,1.16E-11,-7.223095552
ENSG00000256229,ZNF486,90649,protein_coding,chr19:20278037-20311299,-1.21881858,3.40E-12,1.16E-11,-7.223714517
ENSG00000154358,OBSCN,84033,protein_coding,chr1:228395831-228566577,1.214953397,1.71E-12,5.98E-12,7.330613195
ENSG00000179331,RAB39A,54734,protein_coding,chr11:107799229-107834208,-1.776355782,5.06E-12,1.70E-11,-7.161061875
ENSG00000182389,CACNB4,785,protein_coding,chr2:152689290-152955593,1.400758467,4.35E-12,1.47E-11,7.185034289
ENSG00000186104,CYP2R1,120227,protein_coding,chr11:14899553-14913798,-1.162221165,2.39E-12,8.24E-12,-7.278974113
ENSG00000221869,CEBPD,1052,protein_coding,chr8:48649471-48651648,-1.387678115,2.06E-12,7.15E-12,-7.302140411
ENSG00000101577,LPIN2,9663,protein_coding,chr18:2916992-3013313,-1.162006569,2.13E-12,7.38E-12,-7.296799843
ENSG00000187498,COL4A1,1282,protein_coding,chr13:110801318-110959496,-1.231191787,1.75E-12,6.09E-12,-7.327516314
ENSG00000164292,RHOBTB3,22836,protein_coding,chr5:95049226-95160087,-1.172475413,1.82E-12,6.34E-12,-7.321161116
ENSG00000100601,ALKBH1,8846,protein_coding,chr14:78138747-78174363,-1.134161094,2.26E-12,7.81E-12,-7.287696292
ENSG00000182010,RTKN2,219790,protein_coding,chr10:63942794-64028466,1.975141652,5.24E-12,1.76E-11,7.155421769
ENSG00000147419,CCDC25,55246,protein_coding,chr8:27590835-27630170,-1.107988131,1.89E-12,6.58E-12,-7.315169721
ENSG00000138764,CCNG2,901,protein_coding,chr4:78078304-78354542,1.269196189,2.20E-12,7.63E-12,7.291600297
ENSG00000255328,RP11-326C3.12,NA,lincRNA,chr11:327171-330122,-1.770000753,5.25E-12,1.77E-11,-7.155129098
ENSG00000156802,ATAD2,29028,protein_coding,chr8:124332090-124428590,-1.415820915,2.09E-12,7.25E-12,-7.299812185
ENSG00000253051,SNORA31,NA,snoRNA,chr13:45910449-45910582,-1.491763621,5.27E-12,1.77E-11,-7.154576403
ENSG00000253669,KB-1732A1.1,NA,lincRNA,chr8:103817745-103822199,-1.670525236,5.28E-12,1.77E-11,-7.154461634
ENSG00000068654,POLR1A,25885,protein_coding,chr2:86247339-86333278,-1.173688564,2.12E-12,7.35E-12,-7.297454506
ENSG00000078319,PMS2P1,NA,pseudogene,chr7:99918615-99939531,1.173362878,3.04E-12,1.04E-11,7.241109517
ENSG00000008405,CRY1,1407,protein_coding,chr12:107385142-107487607,-1.311075357,2.21E-12,7.64E-12,-7.291383782
ENSG00000056661,PCGF2,NA,protein_coding,chr17:36890150-36906070,1.151867904,2.25E-12,7.77E-12,7.288585116
ENSG00000188493,C19orf54,284325,protein_coding,chr19:41246761-41257458,1.264842236,2.83E-12,9.72E-12,7.25219391
ENSG00000104880,ARHGEF18,23370,protein_coding,chr19:7459999-7537363,1.156356273,3.28E-12,1.12E-11,7.229280205
ENSG00000139194,RBP5,83758,protein_coding,chr12:7276280-7281538,1.809094154,5.67E-12,1.90E-11,7.143001768
ENSG00000172379,ARNT2,9915,protein_coding,chr15:80696692-80890278,1.340716057,3.10E-12,1.06E-11,7.237978873
ENSG00000087191,PSMC5,5705,protein_coding,chr17:61904512-61909379,-1.101388617,1.94E-12,6.75E-12,-7.311147345
ENSG00000133056,PIK3C2B,5287,protein_coding,chr1:204391756-204463852,1.21101905,2.21E-12,7.65E-12,7.291157964
ENSG00000102547,CAB39L,81617,protein_coding,chr13:49882786-50018262,-1.235993976,2.15E-12,7.44E-12,-7.295612968
ENSG00000179950,PUF60,22827,protein_coding,chr8:144898514-144912029,1.092364997,2.01E-12,6.99E-12,7.305582008
ENSG00000112320,SOBP,55084,protein_coding,chr6:107811162-107981357,1.147954572,2.22E-12,7.67E-12,7.290644699
ENSG00000164086,DUSP7,1849,protein_coding,chr3:52082935-52090566,-1.189024407,2.45E-12,8.45E-12,-7.274921345
ENSG00000180747,CTD-2547E10.2,100271836,pseudogene,chr16:21458004-21531765,-1.421333168,4.93E-12,1.66E-11,-7.165228533
ENSG00000260118,RP6-201G10.2,NA,lincRNA,chrX:67233312-67234743,-1.58656098,5.58E-12,1.87E-11,-7.145620264
ENSG00000101189,MRGBP,55257,protein_coding,chr20:61427805-61431945,1.134436929,2.65E-12,9.10E-12,7.262831939
ENSG00000112902,SEMA5A,9037,protein_coding,chr5:9035138-9546187,1.269936243,2.12E-12,7.35E-12,7.29759264
ENSG00000124541,RRP36,88745,protein_coding,chr6:42989383-43001894,-1.107827928,2.31E-12,7.96E-12,-7.284496551
ENSG00000128915,NARG2,79664,protein_coding,chr15:60711808-60771359,-1.112575962,2.25E-12,7.79E-12,-7.287980933
ENSG00000256262,USP30-AS1,NA,antisense,chr12:109490155-109491757,2.023232032,5.95E-12,1.99E-11,7.135484325
ENSG00000124659,TBCC,6903,protein_coding,chr6:42712219-42714558,1.127052515,2.79E-12,9.58E-12,7.254541332
ENSG00000160796,NBEAL2,23218,protein_coding,chr3:47021173-47051193,-1.214168416,2.53E-12,8.70E-12,-7.270165481
ENSG00000142102,ATHL1,80162,protein_coding,chr11:289135-296107,1.314867997,2.50E-12,8.61E-12,7.271743249
ENSG00000174749,C4orf32,132720,protein_coding,chr4:113066553-113116412,-1.222488721,2.23E-12,7.70E-12,-7.28997884
ENSG00000249249,AC010226.4,NA,antisense,chr5:114937754-114956356,1.355760762,4.98E-12,1.68E-11,7.163502101
ENSG00000237125,HAND2-AS1,79804,antisense,chr4:174448421-174512475,1.252062674,2.16E-12,7.50E-12,7.294312216
